country,country_code,year,oda_received
Kenya,KEN,1990,774710002.023727
Cambodia,KHM,1990,29589999.6105582
Kiribati,KIR,1990,18309999.8235702
St. Kitts and Nevis,KNA,1990,5569999.99843538
"Korea, Rep.",KOR,1990,54889997.9703128
Kuwait,KWT,1990,2179999.91588294
Latin America & Caribbean (excluding high income),LAC,1990,4172559993.22794
Lao PDR,LAO,1990,53380000.8017571
Lebanon,LBN,1990,94279998.9879131
Liberia,LBR,1990,50560000.1830608
Libya,LBY,1990,7660000.07465482
St. Lucia,LCA,1990,7879999.98591841
Latin America & Caribbean,LCN,1990,4171349993.18048
Least developed countries: UN classification,LDC,1990,10834069998.214
Low income,LIC,1990,5627840008.53449
Sri Lanka,LKA,1990,419450007.24867
Lower middle income,LMC,1990,16932789980.6853
Low & middle income,LMY,1990,39924550086.9751
Lesotho,LSO,1990,99439999.5151906
Late-demographic dividend,LTE,1990,7769960039.6026
"Macao SAR, China",MAC,1990,110000.001266599
Morocco,MAR,1990,624159996.567294
Madagascar,MDG,1990,304420000.758022
Maldives,MDV,1990,12310000.1215935
"Middle East, North Africa, Afghanistan & Pakistan",MEA,1990,7333879985.80933
Mexico,MEX,1990,149849998.673424
Middle income,MIC,1990,24760799833.037
Mali,MLI,1990,354579998.545348
Malta,MLT,1990,3920000.02227724
Myanmar,MMR,1990,83209999.6339529
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,1990,7333879985.80933
Mongolia,MNG,1990,6360000.16145409
Northern Mariana Islands,MNP,1990,61869999.9097735
Mozambique,MOZ,1990,831700005.590916
Mauritania,MRT,1990,128830001.167953
Mauritius,MUS,1990,83600001.277402
Malawi,MWI,1990,261279998.49245
Malaysia,MYS,1990,458950004.387647
North America,NAC,1990,42190001.8323213
Namibia,NAM,1990,109170002.590865
New Caledonia,NCL,1990,302410008.603707
Niger,NER,1990,296829998.351634
Nigeria,NGA,1990,204779997.043312
Nicaragua,NIC,1990,304099999.971688
Nepal,NPL,1990,242870000.110939
Nauru,NRU,1990,159999.994561076
OECD members,OED,1990,3926469982.87924
Oman,OMN,1990,11350000.0406057
Other small states,OSS,1990,1138520001.81563
Pakistan,PAK,1990,668850001.4022
Panama,PAN,1990,96260000.1264364
Peru,PER,1990,372329997.003078
Philippines,PHL,1990,1112830013.62532
Papua New Guinea,PNG,1990,365419991.638511
Poland,POL,1990,1294810004.56028
Pre-demographic dividend,PRE,1990,10152750010.1682
"Korea, Dem. People's Rep.",PRK,1990,880000.004544855
Paraguay,PRY,1990,48120000.9696186
Pacific island small states,PSS,1990,203469999.948517
Post-demographic dividend,PST,1990,495729999.898002
French Polynesia,PYF,1990,259649986.620993
Qatar,QAT,1990,1430000.05185604
Romania,ROU,1990,239849995.7975
Russian Federation,RUS,1990,254019999.999553
Rwanda,RWA,1990,219149997.573346
South Asia,SAS,1990,2668889993.29321
Saudi Arabia,SAU,1990,12760000.0072271
Sudan,SDN,1990,507599995.462224
Senegal,SEN,1990,612819993.64309
Singapore,SGP,1990,-2959999.56876039
Solomon Islands,SLB,1990,36699999.8874963
Sierra Leone,SLE,1990,48169999.7838586
El Salvador,SLV,1990,318119999.231771
"Somalia, Fed. Rep.",SOM,1990,310290002.800524
Sub-Saharan Africa (excluding high income),SSA,1990,13077130016.5188
Sub-Saharan Africa,SSF,1990,13077130016.5188
Small states,SST,1990,1811030003.42101
Sao Tome and Principe,STP,1990,35400000.706315
Suriname,SUR,1990,60060000.0061095
Slovak Republic,SVK,1990,6800000.0435859
Eswatini,SWZ,1990,44600000.1095235
Sint Maarten (Dutch part),SXM,1990,57600000.2082438
Seychelles,SYC,1990,33930000.3498793
Syrian Arab Republic,SYR,1990,78700000.5003066
Turks and Caicos Islands,TCA,1990,11449999.4441867
Chad,TCD,1990,203879999.581724
East Asia & Pacific (IDA & IBRD countries),TEA,1990,6220480074.50253
Europe & Central Asia (IDA & IBRD countries),TEC,1990,2662169984.02961
Togo,TGO,1990,195350001.592189
Thailand,THA,1990,742950003.854931
Latin America & the Caribbean (IDA & IBRD countries),TLA,1990,3880229992.9224
Timor-Leste,TLS,1990,100000.001490116
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,1990,5097999986.20898
Tonga,TON,1990,24220000.7513165
South Asia (IDA & IBRD),TSA,1990,3440479993.80715
Sub-Saharan Africa (IDA & IBRD countries),TSS,1990,12240340013.7704
Trinidad and Tobago,TTO,1990,15210000.2486259
Tunisia,TUN,1990,237640005.677939
Turkiye,TUR,1990,563949983.892962
Tuvalu,TUV,1990,4880000.04738569
Tanzania,TZA,1990,885970006.406308
Uganda,UGA,1990,279610002.780333
Upper middle income,UMC,1990,7652620053.77189
Uruguay,URY,1990,43139999.0841746
St. Vincent and the Grenadines,VCT,1990,8100000.02942979
"Venezuela, RB",VEN,1990,76550000.5390496
British Virgin Islands,VGB,1990,3619999.99172985
Viet Nam,VNM,1990,114130000.185221
Vanuatu,VUT,1990,44369999.2597103
World,WLD,1990,46361210251.8082
Samoa,WSM,1990,28439999.3866682
"Yemen, Rep.",YEM,1990,170630000.473931
Zambia,ZMB,1990,434839998.904616
Zimbabwe,ZWE,1990,308089999.157935
Aruba,ABW,1991,24959999.4719029
Africa Eastern and Southern,AFE,1991,6996840030.16353
Afghanistan,AFG,1991,107509999.815375
Africa Western and Central,AFW,1991,4790500001.11014
Angola,AGO,1991,214559997.553006
Albania,ALB,1991,321920010.80513
Arab World,ARB,1991,8397710029.28913
United Arab Emirates,ARE,1991,-7830000.63896179
Argentina,ARG,1991,273509991.610422
Armenia,ARM,1991,2720000.03792345
Antigua and Barbuda,ATG,1991,6669999.88071621
Burundi,BDI,1991,179649998.731911
Benin,BEN,1991,177279998.524114
Burkina Faso,BFA,1991,305049996.040761
Bangladesh,BGD,1991,870870008.233935
Bulgaria,BGR,1991,312349994.700403
Bahrain,BHR,1991,1120000.00290573
"Bahamas, The",BHS,1991,1179999.99783933
Belize,BLZ,1991,18659999.9070168
Bermuda,BMU,1991,-4790000.17233193
Bolivia,BOL,1991,376219996.610656
Brazil,BRA,1991,173070001.468063
Barbados,BRB,1991,2439999.98457729
Brunei Darussalam,BRN,1991,3610000.05155801
Bhutan,BTN,1991,39200000.4053116
Botswana,BWA,1991,111539999.822155
Central African Republic,CAF,1991,112270003.402606
Central Europe and the Baltics,CEB,1991,4118049968.86663
Chile,CHL,1991,118110001.238063
China,CHN,1991,1232379994.89345
Cote d'Ivoire,CIV,1991,572439998.097717
Cameroon,CMR,1991,499219999.417662
"Congo, Dem. Rep.",COD,1991,358380004.832521
"Congo, Rep.",COG,1991,125899998.307228
Colombia,COL,1991,122889997.934923
Comoros,COM,1991,44270000.2603233
Cabo Verde,CPV,1991,89070000.1269579
Costa Rica,CRI,1991,171579999.71509
Caribbean small states,CSS,1991,333050001.677126
Cuba,CUB,1991,19220000.2595782
Cayman Islands,CYM,1991,-340000.01847744
Cyprus,CYP,1991,21600000.0890344
Czechia,CZE,1991,229979993.382468
Djibouti,DJI,1991,87859999.9994039
Dominica,DMA,1991,9909999.89956617
Dominican Republic,DOM,1991,72560000.5108863
Algeria,DZA,1991,192680000.094697
East Asia & Pacific (excluding high income),EAP,1991,6612900038.44537
Early-demographic dividend,EAR,1991,21917630049.4615
East Asia & Pacific,EAS,1991,6612900038.44537
Europe & Central Asia (excluding high income),ECA,1991,1753690020.54445
Europe & Central Asia,ECS,1991,1757650020.54721
Ecuador,ECU,1991,179240000.111982
"Egypt, Arab Rep.",EGY,1991,4438620009.3627
Euro area,EMU,1991,166240001.266822
Estonia,EST,1991,15369999.9842793
Ethiopia,ETH,1991,626249995.59857
European Union,EUU,1991,4147219968.76411
Fragile and conflict affected situations,FCS,1991,7359070017.94502
Fiji,FJI,1991,41170000.3929436
Gabon,GAB,1991,140540001.513437
Georgia,GEO,1991,210000.000894069
Ghana,GHA,1991,475929998.023435
Gibraltar,GIB,1991,2569999.9332428
Guinea,GIN,1991,228470003.234223
"Gambia, The",GMB,1991,64229999.4714558
Guinea-Bissau,GNB,1991,69389999.4995445
Equatorial Guinea,GNQ,1991,38550000.0249595
Grenada,GRD,1991,12760000.0780076
Guatemala,GTM,1991,166089998.524636
Guyana,GUY,1991,54370000.2059341
High income,HIC,1991,3180049984.14405
"Hong Kong SAR, China",HKG,1991,15399999.8159707
Honduras,HND,1991,235279998.095706
Heavily indebted poor countries (HIPC),HPC,1991,11269760025.9483
Haiti,HTI,1991,152480000.382289
Hungary,HUN,1991,620159996.418283
IBRD only,IBD,1991,23816300026.6664
IDA & IBRD total,IBT,1991,39596460081.1619
IDA total,IDA,1991,15780160054.4956
IDA blend,IDB,1991,2825730007.59818
Indonesia,IDN,1991,1739240025.04722
IDA only,IDX,1991,12954430046.8974
India,IND,1991,1807369979.96271
"Iran, Islamic Rep.",IRN,1991,83529999.969527
Iraq,IRQ,1991,431470000.864938
Israel,ISR,1991,1749459993.40713
Jamaica,JAM,1991,158820001.518354
Jordan,JOR,1991,876010013.125836
Kazakhstan,KAZ,1991,111500000.0
Kenya,KEN,1991,623350003.212691
Cambodia,KHM,1991,53720000.1180172
Kiribati,KIR,1991,18160000.14171
St. Kitts and Nevis,KNA,1991,4430000.08165836
"Korea, Rep.",KOR,1991,52479999.8775124
Kuwait,KWT,1991,2890000.05833805
Latin America & Caribbean (excluding high income),LAC,1991,4908899998.82691
Lao PDR,LAO,1991,69209999.7419864
Lebanon,LBN,1991,59350000.4410743
Liberia,LBR,1991,71409999.9535829
Libya,LBY,1991,2979999.98740852
St. Lucia,LCA,1991,15990000.044927
Latin America & Caribbean,LCN,1991,4910299998.80493
Least developed countries: UN classification,LDC,1991,10312850046.7502
Low income,LIC,1991,5401550032.39587
Sri Lanka,LKA,1991,460100003.797561
Lower middle income,LMC,1991,19438040019.7823
Low & middle income,LMY,1991,45481799472.8089
Lesotho,LSO,1991,84329999.4692206
Late-demographic dividend,LTE,1991,9483629988.82495
Lithuania,LTU,1991,3959999.98971821
Latvia,LVA,1991,3419999.95708465
"Macao SAR, China",MAC,1991,120000.001043081
Morocco,MAR,1991,659329986.788333
Madagascar,MDG,1991,289000005.790964
Maldives,MDV,1991,14630000.3305078
"Middle East, North Africa, Afghanistan & Pakistan",MEA,1991,10331720009.9733
Mexico,MEX,1991,267050007.645041
Middle income,MIC,1991,29021750213.6231
Mali,MLI,1991,324979997.029528
Malta,MLT,1991,7569999.80844557
Myanmar,MMR,1991,108899996.345863
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,1991,10331720009.9733
Mongolia,MNG,1991,61040001.8114597
Northern Mariana Islands,MNP,1991,26490000.4640222
Mozambique,MOZ,1991,872290009.146556
Mauritania,MRT,1991,148820003.598929
Mauritius,MUS,1991,64989999.8698383
Malawi,MWI,1991,252280003.368854
Malaysia,MYS,1991,278129996.186123
North America,NAC,1991,-4790000.17233193
Namibia,NAM,1991,170049997.68734
New Caledonia,NCL,1991,310679999.958724
Niger,NER,1991,317210003.748536
Nigeria,NGA,1991,197719997.297973
Nicaragua,NIC,1991,719379997.301847
Nepal,NPL,1991,293830002.656207
Nauru,NRU,1991,380000.000819564
OECD members,OED,1991,7114679986.88109
Oman,OMN,1991,12710000.0530481
Other small states,OSS,1991,1154329998.59191
Pakistan,PAK,1991,496690001.539886
Panama,PAN,1991,108290000.215173
Peru,PER,1991,635730008.076877
Philippines,PHL,1991,878330011.723563
Papua New Guinea,PNG,1991,333380006.376654
Poland,POL,1991,2503929985.89575
Pre-demographic dividend,PRE,1991,9855490042.90439
"Korea, Dem. People's Rep.",PRK,1991,1609999.98636544
Paraguay,PRY,1991,128329998.552799
Pacific island small states,PSS,1991,184430001.556873
Post-demographic dividend,PST,1991,1832429976.67193
French Polynesia,PYF,1991,311419995.032251
Qatar,QAT,1991,1329999.99076128
Romania,ROU,1991,314559997.100383
Russian Federation,RUS,1991,563709999.728948
Rwanda,RWA,1991,254369995.765388
South Asia,SAS,1991,3485999995.38623
Saudi Arabia,SAU,1991,12589999.6627122
Sudan,SDN,1991,511870009.355247
Senegal,SEN,1991,448770003.11017
Singapore,SGP,1991,6749998.65517017
Solomon Islands,SLB,1991,32410000.5701184
Sierra Leone,SLE,1991,84000001.0244548
El Salvador,SLV,1991,252770000.139251
"Somalia, Fed. Rep.",SOM,1991,151550001.85594
Sub-Saharan Africa (excluding high income),SSA,1991,12785020014.5207
Sub-Saharan Africa,SSF,1991,12785020014.5207
Small states,SST,1991,1671810001.82591
Sao Tome and Principe,STP,1991,26580000.0410527
Suriname,SUR,1991,42270000.2305209
Slovak Republic,SVK,1991,114320001.43826
Eswatini,SWZ,1991,39169999.9906123
Sint Maarten (Dutch part),SXM,1991,82029996.4230507
Seychelles,SYC,1991,18390000.1253933
Syrian Arab Republic,SYR,1991,237140001.395718
Turks and Caicos Islands,TCA,1991,17190000.0274182
Chad,TCD,1991,160920000.458136
East Asia & Pacific (IDA & IBRD countries),TEA,1991,5742360044.98974
Europe & Central Asia (IDA & IBRD countries),TEC,1991,5828199992.16497
Togo,TGO,1991,138329999.204725
Thailand,THA,1991,648250011.570751
Latin America & the Caribbean (IDA & IBRD countries),TLA,1991,4546440000.93266
Timor-Leste,TLS,1991,940000.027418137
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,1991,7601920015.05941
Tonga,TON,1991,14360000.1800805
South Asia (IDA & IBRD),TSA,1991,4090199996.74149
Sub-Saharan Africa (IDA & IBRD countries),TSS,1991,11787340031.2737
Trinidad and Tobago,TTO,1991,-3519999.98465181
Tunisia,TUN,1991,309610001.401976
Turkiye,TUR,1991,1141970009.99749
Tuvalu,TUV,1991,4499999.97206032
Tanzania,TZA,1991,804440003.491938
Uganda,UGA,1991,314770000.889897
Upper middle income,UMC,1991,9358440059.7252
Uruguay,URY,1991,40280000.9828061
St. Vincent and the Grenadines,VCT,1991,9069999.83265996
"Venezuela, RB",VEN,1991,24150000.1214445
British Virgin Islands,VGB,1991,3960000.00275672
Viet Nam,VNM,1991,154409999.590367
Vanuatu,VUT,1991,40320000.4193932
World,WLD,1991,52546529787.0636
Samoa,WSM,1991,33129999.8797476
"Yemen, Rep.",YEM,1991,223340001.627803
Zambia,ZMB,1991,614200002.260506
Zimbabwe,ZWE,1991,370560001.043603
Aruba,ABW,1992,30230000.3767013
Africa Eastern and Southern,AFE,1992,7880849986.72456
Afghanistan,AFG,1992,140359999.991953
Africa Western and Central,AFW,1992,5057949963.32936
Angola,AGO,1992,253840001.896024
Albania,ALB,1992,384320002.416149
Arab World,ARB,1992,6309729994.28399
United Arab Emirates,ARE,1992,-10410000.4248321
Argentina,ARG,1992,258569994.89665
Armenia,ARM,1992,22369999.9507517
Antigua and Barbuda,ATG,1992,4409999.94985758
Azerbaijan,AZE,1992,5539999.99724329
Burundi,BDI,1992,214710000.127554
Benin,BEN,1992,208100000.32559
Burkina Faso,BFA,1992,328909996.094182
Bangladesh,BGD,1992,904380011.130124
Bulgaria,BGR,1992,146109999.628738
Bahrain,BHR,1992,1519999.95857477
"Bahamas, The",BHS,1992,1320000.03196299
Belarus,BLR,1992,19999.9995529652
Belize,BLZ,1992,18889999.6634573
Bermuda,BMU,1992,-5000000.115484
Bolivia,BOL,1992,534519997.321069
Brazil,BRA,1992,-263980000.188574
Barbados,BRB,1992,2010000.01654029
Brunei Darussalam,BRN,1992,5339999.8601526
Bhutan,BTN,1992,40160000.2329796
Botswana,BWA,1992,98130000.6341188
Central African Republic,CAF,1992,128509996.231645
Central Europe and the Baltics,CEB,1992,2515919972.11426
Chile,CHL,1992,130960001.939908
China,CHN,1992,2061850014.50964
Cote d'Ivoire,CIV,1992,650599984.519184
Cameroon,CMR,1992,706139988.996088
"Congo, Dem. Rep.",COD,1992,181619998.347014
"Congo, Rep.",COG,1992,107599996.779114
Colombia,COL,1992,228270002.080128
Comoros,COM,1992,34520000.8749962
Cabo Verde,CPV,1992,93659999.7542799
Costa Rica,CRI,1992,140989999.374375
Caribbean small states,CSS,1992,310899998.832494
Cuba,CUB,1992,12019999.9045581
Cayman Islands,CYM,1992,-830000.072717663
Cyprus,CYP,1992,18270000.0647455
Czechia,CZE,1992,129429999.68119
Djibouti,DJI,1992,96430000.8099526
Dominica,DMA,1992,9790000.1052767
Dominican Republic,DOM,1992,71580000.9761006
Algeria,DZA,1992,252060001.306236
East Asia & Pacific (excluding high income),EAP,1992,8693599979.63718
Early-demographic dividend,EAR,1992,19612689971.4377
East Asia & Pacific,EAS,1992,8693599979.63718
Europe & Central Asia (excluding high income),ECA,1992,1702659999.86045
Europe & Central Asia,ECS,1992,1704809999.80122
Ecuador,ECU,1992,211719999.754801
"Egypt, Arab Rep.",EGY,1992,3062929984.32927
Euro area,EMU,1992,368219999.724999
Estonia,EST,1992,104319998.592138
Ethiopia,ETH,1992,748089995.061979
European Union,EUU,1992,2542609972.27579
Fragile and conflict affected situations,FCS,1992,7745359959.39933
Fiji,FJI,1992,59550000.9357929
"Micronesia, Fed. Sts.",FSM,1992,12520000.1858175
Gabon,GAB,1992,65369999.5614588
Georgia,GEO,1992,5279999.807477
Ghana,GHA,1992,397479997.56597
Gibraltar,GIB,1992,3139999.88511204
Guinea,GIN,1992,287099999.153987
"Gambia, The",GMB,1992,66400000.7435679
Guinea-Bissau,GNB,1992,64389999.7640401
Equatorial Guinea,GNQ,1992,40699999.9638646
Grenada,GRD,1992,9040000.16115605
Guatemala,GTM,1992,184999999.230728
Guyana,GUY,1992,31099999.6960164
High income,HIC,1992,3552999969.54948
"Hong Kong SAR, China",HKG,1992,-58049997.5644052
Honduras,HND,1992,209639999.976382
Heavily indebted poor countries (HIPC),HPC,1992,12230529953.8039
Haiti,HTI,1992,89419999.3573129
Hungary,HUN,1992,210569995.811209
IBRD only,IBD,1992,22187419941.1534
IDA & IBRD total,IBT,1992,38741689898.1221
IDA total,IDA,1992,16554269956.9687
IDA blend,IDB,1992,3298849973.34704
Indonesia,IDN,1992,1880769956.98363
IDA only,IDX,1992,13255419983.6217
India,IND,1992,1275390007.61881
"Iran, Islamic Rep.",IRN,1992,64729997.0630556
Iraq,IRQ,1992,66500000.4693865
Israel,ISR,1992,2065699992.38849
Jamaica,JAM,1992,121039999.101311
Jordan,JOR,1992,353720002.248884
Kazakhstan,KAZ,1992,9540000.0475347
Kenya,KEN,1992,611699997.100979
Kyrgyz Republic,KGZ,1992,3430000.01832843
Cambodia,KHM,1992,111130001.075566
Kiribati,KIR,1992,24689999.9938905
St. Kitts and Nevis,KNA,1992,3999999.90686774
"Korea, Rep.",KOR,1992,3060001.17212535
Kuwait,KWT,1992,1560000.00983476
Latin America & Caribbean (excluding high income),LAC,1992,4417979990.01667
Lao PDR,LAO,1992,79949998.6525624
Lebanon,LBN,1992,67890000.4960597
Liberia,LBR,1992,31219999.8404831
Libya,LBY,1992,1469999.97645617
St. Lucia,LCA,1992,15999999.9869615
Latin America & Caribbean,LCN,1992,4419869990.14579
Least developed countries: UN classification,LDC,1992,11248869999.3696
Low income,LIC,1992,5528140001.17592
Sri Lanka,LKA,1992,261850003.417581
Lower middle income,LMC,1992,18854879989.8494
Low & middle income,LMY,1992,45810909444.5706
Lesotho,LSO,1992,89040001.0738521
Late-demographic dividend,LTE,1992,10638209945.1497
Lithuania,LTU,1992,93720001.3250113
Latvia,LVA,1992,80269999.9343603
"Macao SAR, China",MAC,1992,119999.997317791
Morocco,MAR,1992,783460013.380274
Madagascar,MDG,1992,264500001.28895
Maldives,MDV,1992,15769999.768585
"Middle East, North Africa, Afghanistan & Pakistan",MEA,1992,8170509981.63782
Mexico,MEX,1992,308420003.186912
Marshall Islands,MHL,1992,5349999.97913837
Middle income,MIC,1992,28495429574.7876
Mali,MLI,1992,310300005.141646
Malta,MLT,1992,8420000.09678305
Myanmar,MMR,1992,83059997.4542857
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,1992,8170509981.63782
Mongolia,MNG,1992,67959998.5778332
Northern Mariana Islands,MNP,1992,7220000.15713275
Mozambique,MOZ,1992,1096439996.91494
Mauritania,MRT,1992,159400000.015274
Mauritius,MUS,1992,44230000.2761185
Malawi,MWI,1992,264729998.733848
Malaysia,MYS,1992,198059996.673838
North America,NAC,1992,-5000000.115484
Namibia,NAM,1992,126219998.357817
New Caledonia,NCL,1992,357969988.9943
Niger,NER,1992,305700005.96717
Nigeria,NGA,1992,192889998.992905
Nicaragua,NIC,1992,513440000.260249
Nepal,NPL,1992,277329998.31438
Nauru,NRU,1992,239999.998360872
OECD members,OED,1992,5091569971.5279
Oman,OMN,1992,19270000.0163168
Other small states,OSS,1992,1097480000.20534
Pakistan,PAK,1992,500999998.256565
Panama,PAN,1992,195069998.48783
Peru,PER,1992,415840001.817793
Philippines,PHL,1992,1555400042.18369
Palau,PLW,1992,9999.99977648258
Papua New Guinea,PNG,1992,420769997.512922
Poland,POL,1992,1434499976.00168
Pre-demographic dividend,PRE,1992,10572139963.8914
"Korea, Dem. People's Rep.",PRK,1992,4389999.97265636
Paraguay,PRY,1992,66789998.7027049
Pacific island small states,PSS,1992,241900000.454858
Post-demographic dividend,PST,1992,1400559987.9697
French Polynesia,PYF,1992,326739990.169182
Qatar,QAT,1992,1299999.98025596
Romania,ROU,1992,253780001.427979
Russian Federation,RUS,1992,1934589974.4574
Rwanda,RWA,1992,270039999.291301
South Asia,SAS,1992,2774880020.48247
Saudi Arabia,SAU,1992,48149999.8867512
Sudan,SDN,1992,268419999.89748
Senegal,SEN,1992,494089988.004416
Singapore,SGP,1992,18800000.1460314
Solomon Islands,SLB,1992,41779999.2598594
Sierra Leone,SLE,1992,89760002.6931614
El Salvador,SLV,1992,338990001.663566
"Somalia, Fed. Rep.",SOM,1992,540369998.367503
Sub-Saharan Africa (excluding high income),SSA,1992,14084599939.4078
Sub-Saharan Africa,SSF,1992,14084599939.4078
Small states,SST,1992,1650279999.49269
Sao Tome and Principe,STP,1992,30419999.8006225
Suriname,SUR,1992,77950000.7554888
Slovak Republic,SVK,1992,63219999.7119606
Eswatini,SWZ,1992,35120000.0159443
Sint Maarten (Dutch part),SXM,1992,93319996.1278587
Seychelles,SYC,1992,17620000.0252575
Syrian Arab Republic,SYR,1992,57670000.6593019
Turks and Caicos Islands,TCA,1992,14380000.4310906
Chad,TCD,1992,160100002.81781
East Asia & Pacific (IDA & IBRD countries),TEA,1992,7883439997.96734
Europe & Central Asia (IDA & IBRD countries),TEC,1992,5155439941.88681
Togo,TGO,1992,169530000.403523
Thailand,THA,1992,687230004.316196
Tajikistan,TJK,1992,11449999.9880791
Turkmenistan,TKM,1992,5389999.98569489
Latin America & the Caribbean (IDA & IBRD countries),TLA,1992,4037409996.71817
Timor-Leste,TLS,1992,129999.995231628
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,1992,5310359992.76489
Tonga,TON,1992,20829999.5623529
South Asia (IDA & IBRD),TSA,1992,3416240018.73098
Sub-Saharan Africa (IDA & IBRD countries),TSS,1992,12938799950.0539
Trinidad and Tobago,TTO,1992,4359999.88950788
Tunisia,TUN,1992,344099991.228431
Turkiye,TUR,1992,98140000.3284216
Tuvalu,TUV,1992,7539999.99351799
Tanzania,TZA,1992,928069995.000959
Uganda,UGA,1992,410669997.088611
Upper middle income,UMC,1992,8395009974.20214
Uruguay,URY,1992,62609998.8482893
Uzbekistan,UZB,1992,1360000.0012666
St. Vincent and the Grenadines,VCT,1992,10989999.5680898
"Venezuela, RB",VEN,1992,31990000.2479553
British Virgin Islands,VGB,1992,2149999.94076788
Viet Nam,VNM,1992,495229989.577085
Vanuatu,VUT,1992,33640000.5500763
World,WLD,1992,53745699805.8558
Samoa,WSM,1992,35749999.9962747
"Yemen, Rep.",YEM,1992,159400000.797585
Zambia,ZMB,1992,794120011.348277
Zimbabwe,ZWE,1992,558229995.20041
Aruba,ABW,1993,24729999.3038178
Africa Eastern and Southern,AFE,1993,6899890004.14498
Afghanistan,AFG,1993,131219999.046996
Africa Western and Central,AFW,1993,4833479983.29066
Angola,AGO,1993,196009998.50221
